activity,date
494499582,2/15/2016
495086811,2/16/2016
495293794,2/16/2016
495928847,2/17/2016
496088320,2/17/2016
496741568,2/18/2016
497471627,2/19/2016
497492517,2/19/2016
498361372,2/20/2016
498362296,2/20/2016
499382800,2/21/2016
499382802,2/21/2016
502445008,2/22/2016
503121816,2/26/2016
504055591,2/27/2016
507365948,3/2/2016
507376305,3/2/2016
508043913,2/28/2016
508043920,2/28/2016
508043953,2/29/2016
508043987,3/1/2016
508089244,3/3/2016
508783062,3/4/2016
509988006,3/5/2016
510147857,3/6/2016
511342683,3/6/2016
511344524,3/7/2016
512176693,3/8/2016
512938866,3/9/2016
513829363,3/10/2016
514613172,3/11/2016
515429710,3/12/2016
516805338,3/14/2016
519023776,3/14/2016
519172291,3/15/2016
519873532,3/17/2016
520571447,3/13/2016
520571455,3/18/2016
520571517,3/16/2016
522261985,3/20/2016
522262002,3/19/2016
522262006,3/20/2016
523545687,3/20/2016
524230100,3/21/2016
524307075,3/22/2016
525892661,3/23/2016
526043128,3/24/2016
526715765,3/25/2016
526715807,3/25/2016
530811635,3/26/2016
530811654,3/28/2016
530811657,3/28/2016
530869297,3/27/2016
530869520,3/27/2016
530869714,3/29/2016
530869754,3/30/2016
531383706,3/30/2016
531383715,3/30/2016
531383721,3/30/2016
534112040,4/2/2016
535280602,3/31/2016
535280659,3/31/2016
535280676,4/1/2016
535280680,4/1/2016
535280710,4/1/2016
535280762,4/2/2016
535280832,4/3/2016
535839351,4/4/2016
536105308,4/4/2016
538033775,4/6/2016
538033883,4/5/2016
538033890,4/6/2016
539126361,4/8/2016
541880889,4/10/2016
541880903,4/10/2016
541921416,4/10/2016
542805485,4/7/2016
542805505,4/7/2016
542805533,4/11/2016
543185531,4/12/2016
543185564,4/12/2016
543492611,4/12/2016
543875984,4/12/2016
545239959,4/14/2016
556964500,2/16/2016
665896978,4/13/2016
697223180,3/14/2016
697224327,3/20/2016
697225815,3/27/2016
