date,runner,total_distance,avg_pace,duration
2/15/2016,adam,55.62,14.22,790.00
2/16/2016,adam,19.13,16.35,335.00
2/17/2016,adam,58.57,13.91,793.00
2/18/2016,adam,36.26,15.42,558.00
2/19/2016,adam,48.62,18.83,765.00
2/20/2016,adam,40.17,18.03,729.00
2/21/2016,adam,30.05,17.88,556.00
2/22/2016,adam,39.77,16.83,669.00
2/26/2016,adam,41.20,14.72,606.00
2/27/2016,adam,50.09,15.43,772.00
2/28/2016,adam,38.32,15.60,597.00
2/29/2016,adam,47.39,13.73,651.00
3/1/2016,adam,50.07,12.07,603.00
3/2/2016,adam,47.02,13.77,647.00
3/3/2016,adam,43.12,13.27,572.00
3/4/2016,adam,45.68,21.15,966.00
3/5/2016,adam,39.44,16.87,665.00
3/6/2016,adam,36.06,18.29,642.00
3/7/2016,adam,41.62,14.80,615.00
3/9/2016,adam,43.32,13.90,602.00
3/10/2016,adam,38.22,16.53,632.00
3/11/2016,adam,42.86,15.00,643.00
3/12/2016,adam,42.23,16.97,716.00
3/13/2016,adam,45.07,19.58,883.00
3/14/2016,adam,24.68,17.65,426.00
3/15/2016,adam,50.19,13.80,692.00
3/16/2016,adam,50.30,13.55,681.00
3/17/2016,adam,50.41,12.58,634.00
3/18/2016,adam,50.11,12.90,646.00
3/19/2016,adam,50.14,14.47,725.00
3/20/2016,adam,44.29,12.91,557.00
3/21/2016,adam,48.55,11.87,575.00
3/22/2016,adam,51.51,11.75,605.00
3/23/2016,adam,55.06,12.47,686.00
3/24/2016,adam,43.53,16.27,708.00
3/25/2016,adam,26.01,17.91,469.00
3/26/2016,adam,41.08,17.03,699.00
3/27/2016,adam,45.04,16.61,746.00
3/28/2016,adam,28.66,17.18,490.00
3/29/2016,adam,46.56,17.07,794.00
3/30/2016,adam,50.78,17.76,973.00
3/31/2016,adam,51.60,17.23,829.00
4/1/2016,adam,53.42,15.06,756.00
4/2/2016,adam,60.01,12.75,751.00
4/3/2016,adam,55.96,13.02,728.00
4/4/2016,adam,41.77,13.15,552.00
4/5/2016,adam,40.35,16.57,668.00
4/6/2016,adam,43.86,20.51,979.00
4/7/2016,adam,52.41,21.13,1013.00
4/8/2016,adam,23.81,12.13,288.00
4/10/2016,adam,21.74,17.70,415.00
4/11/2016,adam,37.84,16.70,632.00
4/12/2016,adam,70.63,16.50,1044.00
4/13/2016,adam,49.52,11.68,578.00
4/14/2016,adam,35.16,11.27,396.00
9/12/2016,pete,80.90,9.29,741.00
9/13/2016,pete,55.14,9.73,536.00
9/14/2016,pete,15.66,13.48,211.00
9/15/2016,pete,72.95,10.70,746.00
9/16/2016,pete,73.63,10.18,750.00
9/17/2016,pete,69.73,11.40,752.00
9/19/2016,pete,70.37,11.07,777.00
9/20/2016,pete,70.63,10.32,727.00
9/21/2016,pete,70.51,10.33,730.00
9/22/2016,pete,72.35,10.37,746.00
9/23/2016,pete,38.80,10.17,394.00
9/24/2016,pete,71.05,10.43,740.00
9/25/2016,pete,74.98,9.80,732.00
9/26/2016,pete,71.47,10.63,753.00
9/27/2016,pete,70.75,10.02,707.00
9/28/2016,pete,35.21,10.68,376.00
9/29/2016,pete,72.87,9.88,719.00
9/30/2016,pete,72.31,9.56,690.00
10/1/2016,pete,40.22,9.50,382.00
10/2/2016,pete,73.78,9.75,718.00
10/3/2016,pete,72.02,11.13,788.00
10/4/2016,pete,77.66,9.99,771.00
10/5/2016,pete,72.48,9.53,690.00
10/6/2016,pete,74.25,9.77,719.00
