, Activity Name,Start,Distance,total_time,Elevation Loss,Avg Pace,Elevation Gain,Steps,Avg Temp,Net Elevation,mph,total_duration,moving pace,moving time,,
60, SantaMonica_LACityHall_01,3/24/2016 9:00,17.15,4:29:38,449,14.05,817,31724,85.9,368,4.26,269,12.35,16.48,,
59, CityHall_Riverside_02,3/25/2016 6:35,50.17,10:25:19,1358,15.34,1942,73290,80.4,584,3.85,625,12.68333333,10.42,,
58, Riverside_Beaumont_03,3/26/2016 4:10,50.26,13:21:01,1512,15.56,3130,99004,74.8,1618,3.77,801,13.08333333,13.35,,
57, Beaumont_Joshua Tree 04,3/27/2016 4:50,50.01,10:41:36,2828,12.50,3054,93332,75.6,226,4.68,641,11.58333333,12.53,,
56, Joshua Tree+50mi_05,3/28/2016 5:58,50,10:54:56,1972,13.06,1621,103994,74.8,-351,4.58,654,12.23333333,10.90,,
55, twentynine palms_06,3/29/2016 10:05,16.82,3:49:00,1424,15.35,610,31100,77.0,-814,3.85,229,11.33333333,3.10,,
54, Parker AZ_07,3/30/2016 1:32,55.01,14:01:50,1575,15.18,735,115022,69.7,-840,3.92,842,13.85,14.02,,
53, Parker_Salome_08,3/31/2016 5:29,50.1,12:02:41,794,14.26,1598,102948,76.9,804,4.16,722,12.81666667,10.70,,
52, Salome_Wickenburg AZ_09,4/1/2016 5:49,50.03,11:56:17,253,14.19,1266,96696,78.1,1013,4.19,716,12.73333333,10.60,,
51, Wickenburg_Fountain Hills_10,4/2/2016 4:58,51.3,13:00:05,2090,15.12,1444,95878,79.2,-646,3.95,780,15.2,10.92,,
50, Anthem_Fountain Hills_11,4/3/2016 5:08,51.31,12:16:17,2031,14.21,1988,96288,84.8,-43,4.18,736,12.1,10.33,,
49, fountain hills_Payson_12,4/4/2016 5:31,51.2,11:49:32,3192,13.52,5633,96536,84.1,2441,4.33,709,12.41666667,10.58,,
48, Payson_Heber Overgaard_13,4/5/2016 5:47,50.01,11:54:29,1673,14.17,4911,98384,74.1,3238,4.20,714,12.76666667,10.63,,
