Date,Start,Stop,miles,total miles,elevation,avg temp,moving pace,moving time
3/24/16,Santa Monica,LA City Hall,17,17,817,85.9,12.35,16.48
3/25/16,LA City Hall,Riverside CA,50,50,1942,80.4,12.68333333,10.42
3/26/16,Riverside CA,Beaumont CA,50,100,3130,74.8,13.08333333,13.35
3/27/16,Beaumont CA,joshua tree CA,50.01,150.01,3054,75.6,11.58333333,12.53
3/28/16,joshua tree CA,plus 50 miles,50,200.01,1621,74.8,12.23333333,10.90
3/29/16,twentynine palms,,16.82,216.83,610,77,11.33333333,3.10
3/30/16,twentynine palms,parker AZ,55.01,271.84,735,69.7,13.85,14.02
3/31/16,parker AZ,Salome AZ,50.1,321.94,1598,76.9,12.81666667,10.70
4/1/16,salome AZ,wickenburg AZ,50.03,371.97,1266,78.1,12.73333333,10.60
4/2/16,wickenburg,Fountain Hills AZ,51.3,423.27,1444,79.2,15.2,10.92
4/3/16,anthem,Fountain Hills AZ,51.31,474.58,1988,84.8,12.1,10.33
4/4/16,fountain hills,peyson AZ -X,51.2,525.78,5633,84.1,12.41666667,10.58
4/5/16,payson,Heber AZ,50.01,575.79,4911,74.1,12.76666667,10.63
4/6/16,"heber, AZ","Show Low, AZ",51.1,626.89,2329,71.1,12.2,10.38
4/7/16,show low,"springerville, AZ",51.01,677.9,3219,71.6,13.11666667,10.33
4/8/16,springerville,"Quemado, NM",50.02,727.92,2093,66,11.21666667,9.33
4/9/16,quemado,magdalena,51.01,778.93,1909,68.1,11.38333333,9.67
4/10/16,magdalena NM,Socorro NM,50.01,828.94,1280,69.8,11.78333333,9.82
4/11/16,socorro,mountainair NM,52,880.94,2211,65,11.5,9.30
4/12/16,mountainair,Encino,51.01,931.95,1614,63.4,11.66666667,9.68
4/13/16,Encino,Santa Rosa,51.18,983.13,1470,77.5,11.18333333,9.53
4/14/16,Santa Rosa NM,Tucumcari NM,51,1034.13,1578,75.9,10.9,9.25
4/15/16,tucumcari,"logan, nm",51.04,1085.17,1165,81.4,10.75,9.13
4/16/16,logan NM,Dalhart TX,51.01,1136.18,1594,63.5,12,10.10
4/17/16,Dalhart,Stratford,51.07,1187.25,1401,57.9,13.3,11.32
4/18/16,stratford,guymon OK,51.19,1238.44,873,60.2,12.41666667,10.58
4/19/16,Guymon OK,Liberal KS,48.01,1286.45,463,64.4,12.13333333,9.70
4/20/16,Liberal KS,minneola,51.09,1337.54,833,70,12.83333333,10.08
4/21/16,minneola KS,greensburg,51.01,1388.55,640,70,12.25,9.88
4/22/16,haviland,Kingman,52.15,1440.7,650,75,11.5,9.93
4/23/16,kingman,wichita,50,1490.7,1394,81,11.75,9.73
4/24/16,Wichita,Rosalia,51.32,1542.02,2293,85.1,11.53333333,9.85
4/25/16,Rosalia,Yates Center,53.5,1595.52,1014,77.9,12.2,10.87
4/26/16,Yates Center,Fort Scott,51.04,1646.56,1542,76.8,12.11666667,10.25
4/27/16,Fort Scott KS,"El Dorado, MO",51.11,1697.67,2120,79,11.66666667,9.93
4/28/16,"El dorado, MO",Preston,51,1748.67,2890,75,13,10.43
4/29/16,"Preston, MO",Osage Beach,51.02,1799.69,2801,67,13,9.92
4/30/16,osage beach,fulton MO,50.45,1850.14,2025,80,12.36666667,10.15
5/1/16,Fulton,Laddonia,51.26,1901.4,1236,71,11.6,9.90
5/2/16,Laddonia,"Pittsfield, IL",51.28,1952.68,1060,60,11.28333333,9.77
5/3/16,"Pittsfield, IL","Virginia, IL",51.07,2003.75,1335,73,11.58333333,9.93
5/4/16,Virginia,"Springfield, IL",51.02,2054.77,1614,68.5,12.13333333,10.33
5/5/16,"Springfield, IL","Farmer City, IL",53.99,2108.76,1047,65,11.75,10.83
5/6/16,Farmer City,"Henning, IL",55.21,2163.97,659,76,11.91666667,10.88
5/7/16,Henning IL,Lafayette IN,51.11,2215.08,1201,71,12.08333333,12.20
5/8/16,Lafayette IN,Elwood IN,50.21,2265.29,684,66.5,12.35,9.95
5/9/16,Elwood IN,Union City IN,50.18,2315.47,955,66.1,12.91666667,10.80
5/10/16,UnionCity IN,Sidney OH,52.48,2367.95,1142,70.5,12.63333333,11.03
5/11/16,Sidney OH,Marion OH,51.99,2419.94,1319,74,12,10.37
5/12/16,Marion ,Mt Vernon OH,51.22,2471.16,1512,81.2,12.91666667,11.02
5/13/16,Mt Vernon OH,Sugarcreek OH,54.12,2525.28,3064,74.6,11.98333333,10.80
5/14/16,Sugarcreek OH,Salineville OH,50.40,2575.68,2333,67.5,12.75,10.62
5/15/16,Salineville OH,"CranberryTwp, PA",51.13,2626.81,3159,60.6,12.95,11.02
5/16/16,Cranberry PA,Indiana PA,51.07,2677.88,4252,71,12.75,10.85
5/17/16,Indiana PA,Strongstown PA,51.00,2728.88,4751,69.2,12.65,10.73
5/18/16,Creasson PA,Mt Union PA,50.80,2779.68,2451,68,14.35,10.68
5/19/16,mt union,thompsontown PA,50.01,2829.69,2176,76,12.75,10.08
5/20/16,thompsonton PA,Tower City PA,52.22,2881.91,3284,78,13.91666667,10.90
5/21/16,TowerCity,Andreas PA,50.09,2932,3238,67.9,14.01666667,10.68
5/22/16,Andreas PA,Hackettstown NJ,60.76,2992.76,3123,71.1,11.53333333,11.67
5/23/16,Hackettstown NJ,City Hall NY,70.57,3063.33,3550,73.4,12.33333333,14.50
