 Activity Name,Start,Distance,Time,Elevation Loss,Avg Pace,Elevation Gain,Steps,Avg Temp,Net Elevation
 HackettstownNJ_CityHallNY_60,"Mon, May 23, 2016 3:07 AM",70.57,16:28:07 AM,"4,058",14:00,"3,550",136836,73.4,-508
 AndreasPA_HackettstownNJ_60,"Sun, May 22, 2016 6:43 AM",60.76,12:44:11,"3,205",12:34,"3,123",116274,71.1,-82
 TowerCity_Andreas_59,"Sat, May 21, 2016 6:47 AM",50.09,11:42:08,"3,143",14:01,"3,238",99828,67.9,95
thompsontown_TowerCityPA_57,"Fri, May 20, 2016 6:48 AM",52.22,12:09:25,"2,802",15:55,"3,284",103684,78,482
 MtUnion_ThompsontownPA_56,"Thu, May 19, 2016 6:49 AM",50.01,11:01:27,"2,277",13:04,"2,176",99486,76,-101
 Creasson_MtUnionPA_56,"Wed, May 18, 2016 6:34 AM",50.52,11:55:08,"4,203",14:21,"2,451",102018,68,-1752
 Indiana_strongstownPA_55,"Tue, May 17, 2016 6:46 AM",51,11:26:01,"3,363",13:27,"4,751",102426,69.2,1388
 Cranberry_Indiana_PA_54,"Mon, May 16, 2016 6:32 AM",51.07,11:53:25,"4,341",13:58,"4,252",102158,71,-89
 Salineveille OH_CranberryTwp PA_53,"Sun, May 15, 2016 7:18 AM",51.13,11:57:33,"3,081",14:02,"3,159",105956,60.6,78
 Sugarcreek_Salineville_52,"Sat, May 14, 2016 6:51 AM",50.4,11:41:20,2556,13:50,"2,333",99174,67.5,-223
 MtVernon_SugarCreek_OH_51,"Fri, May 13, 2016 6:38 AM",54.12,11:37:33,"3,166",12:53,"3,064",107018,74.6,-102
 Marion_MtVernonOH_50,"Thu, May 12, 2016 7:16 AM",51.22,11:50:58,"1,204",13:53,"1,512",105120,81.2,308
 Sidney_MarionOH_49,"Wed, May 11, 2016 6:51 AM",51.99,11:01:57,1362,12:42,"1,319",104550,74,-43
 Union CityIN_SidneyOH_48,"Tue, May 10, 2016 7:04 AM",52.48,11:54:35,"1,152",13:37,"1,142",103118,70.5,-10
 Elwood_UnionCity IN_47,"Mon, May 9, 2016 7:09 AM",50.18,11:51:50,863,14:11,955,99510,66.1,92
 Lafayette_ElwoodIN_46,"Sun, May 8, 2016 6:54 AM",50.21,10:50:59,394,12:53,384,100770,66.5,-10
 HenningIL_LafayetteIN_45a,"Sat, May 7, 2016 6:12 AM",51.11,10:57:02,1119,12:48,1201,101670,71,82
 Farmer City_Henning_IL_44,"Fri, May 6, 2016 5:53 AM",55.21,11:43:16,587,12:36,659,109798,76,72
 Springfield_FarmerCity_43,"Thu, May 5, 2016 6:34 AM",53.99,11:27:08,948,12:58,1047,106370,65,99
 Virginia_Springfield_42,"Wed, May 4, 2016 6:50 AM",51.02,10:58:35,"1,660",12:55,"1,614",102848,68.5,-46
 Pittsfield_Virginia_41,"Tue, May 3, 2016 6:27 AM",51.07,10:57:27,"1,480",12:55,1335,98734,73,-145
 Laddonia_Pittsfield_40,"Mon, May 2, 2016 6:38 AM",51.28,10:32:20,1030,12:16,1060,98906,60,30
 Fulton_Laddonia_39,"Sun, May 1, 2016 7:03 AM",51.26,10:45:44,1362,12:33,1236,101196,71,-126
 OsageBeach_Fulton_38,"Sat, Apr 30, 2016 6:33 AM",50.45,11:09:48,"2,155",13:11,"2,025",98500,80,-130
 Preston_OsageBeach_37,"Fri, Apr 29, 2016 6:41 AM",51.02,11:07:00,"2,933",13:01,"2,801",96880,67,-132
 ElDorado_Preston_36,"Thu, Apr 28, 2016 6:20 AM",51,11:39:41,"2,904",13:43,"2,890",101100,75,-14
 FortScott_ElDorado_35,"Wed, Apr 27, 2016 6:52 AM",51.11,10:51:57,"2,119",12:46,"2,119",98968,79,0
 YatesCenter_FortScott_34,"Tue, Apr 26, 2016 6:17 AM",51.04,11:22:42,"1,677",13:23,"1,542",102960,76.8,-135
 Rosalia_YatesCenter_33,"Mon, Apr 25, 2016 6:49 AM",53.5,11:55:07,"1,375",13:22,"1,014",108462,77.9,-361
 wichita_rosalia_32,"Sun, Apr 24, 2016 6:51 AM",51.32,11:40:56,"1,995",13:39,"2,293",99146,85.1,298
 kingman_wichita_31,"Sat, Apr 23, 2016 7:11 AM",50,10:29:23,"1,575",12:45,"1,394",94978,81,-181
 Haviland_kingman_30,"Fri, Apr 22, 2016 6:53 AM",52.15,10:38:04,1132,12:07,650,101190,75,-482
 Minneola_Greensburg_29,"Thu, Apr 21, 2016 6:56 AM",51.01,11:04:39,1027,12:55,640,101952,70,-387
 liberal_minneola_28,"Wed, Apr 20, 2016 7:21 AM",51.09,10:58:46,784,12:52,833,103772,70,49
 Guymon_Liberal_27,"Tue, Apr 19, 2016 8:21 AM",48.01,11:30:20,669,14:23,463,87058,64.4,-206
 StratfordTX_GuymonOK_26,"Mon, Apr 18, 2016 6:56 AM",51.19,12:09:06,"1,617",14:15,873,102454,60.2,-744
 dalhart_stratford_25,"Sun, Apr 17, 2016 6:56 AM",51.07,12:18:23,"1,877",14:28,"1,401",97552,57.9,-476
 Logan_DalhartTX_24,"Sat, Apr 16, 2016 6:30 AM",50.01,10:58:27,1503,2:00,1594,96458,63.5,91
 Tucumcari_Logan_23,"Fri, Apr 15, 2016 7:01 AM",51.04,11:16:26,"1,847",13:15,"1,165",89946,81.4,-682
